序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
136,831195,三祥科技,14.29,4.08,0.56,32547.0,45881757.09,5.97,14.35,13.53,13.56,13.73,0.92,4.6,17.36,1.9,1400848700.0,1011145896.0,0.0,0.56,-2.99,30.15
137,838171,邦德股份,18.63,4.08,0.73,27547.0,50188275.17,5.81,18.63,17.59,17.7,17.9,1.15,5.29,18.71,3.97,2215665900.0,969362196.0,0.43,0.98,7.13,31.2
138,831278,泰德股份,13.53,4.08,0.53,103200.0,139180059.55,10.69,13.97,12.58,12.58,13.0,0.71,10.58,62.59,5.66,2104266780.0,1319322693.0,0.15,-0.07,33.3,54.98
139,873167,新赣江,29.52,4.05,1.15,79685.0,231731175.22,14.8,31.0,26.8,26.96,28.37,1.42,19.07,67.44,4.41,2091824100.0,1233400714.0,0.58,0.75,60.52,109.81
140,832171,志晟信息,28.1,4.04,1.09,80791.0,223364201.58,7.15,28.4,26.47,26.5,27.01,0.59,12.25,-27.68,13.14,2816553904.0,1852548925.0,0.0,0.0,1.81,35.03
141,836826,盖世食品,12.7,4.01,0.49,110889.0,136172230.36,6.55,12.78,11.98,12.01,12.21,0.94,17.78,32.76,5.19,1784550838.0,792064532.0,0.71,0.0,-14.3,22.12
142,830946,森萱医药,10.4,4.0,0.4,92489.0,94517437.28,5.0,10.4,9.9,9.98,10.0,1.99,2.17,27.12,3.73,4439950736.0,4438585736.0,0.19,0.39,-13.98,18.05
143,873339,恒太照明,9.89,4.0,0.38,33983.0,33379411.77,10.73,10.25,9.23,9.38,9.51,1.77,2.25,24.7,3.69,2177815582.0,1492372665.0,1.12,0.82,-3.89,25.51
144,834475,三友科技,24.09,3.97,0.92,75784.0,182809666.61,10.79,25.1,22.6,22.91,23.17,1.88,18.02,109.45,6.75,2478745368.0,1012981127.0,0.12,0.33,-3.06,49.44
145,870866,绿亨科技,8.92,3.96,0.34,63898.0,56394787.61,4.66,8.99,8.59,8.75,8.58,1.56,6.83,23.32,2.1,1607436628.0,834998854.0,0.0,0.11,-18.17,23.55
146,873665,科强股份,13.42,3.95,0.51,31419.0,41356263.91,7.67,13.5,12.51,12.78,12.91,1.42,8.06,21.07,2.46,1744465800.0,522963980.0,-0.15,-0.22,-13.86,30.29
147,837748,路桥信息,25.92,3.93,0.98,19487.0,49957845.94,6.01,26.28,24.78,24.81,24.94,1.46,3.13,62.44,6.17,1989100800.0,1616049144.0,0.15,0.12,-3.64,32.79
148,833394,民士达,26.5,3.92,1.0,52660.0,136773424.87,5.76,26.58,25.11,25.19,25.5,1.29,10.98,28.98,5.41,3875625000.0,1270774375.0,0.0,0.15,6.64,36.6
149,836675,秉扬科技,10.38,3.9,0.39,35222.0,35937182.5,5.21,10.38,9.86,9.9,9.99,1.85,4.48,25.64,2.95,1787166120.0,815399551.0,0.19,0.78,-7.73,24.61
150,873132,泰鹏智能,15.98,3.9,0.6,21824.0,34513382.46,6.24,16.14,15.18,15.29,15.38,1.44,7.76,43.35,5.19,1323527520.0,449409136.0,0.31,-0.31,-24.12,30.98
151,873122,中纺标,51.82,3.89,1.94,18719.0,95243901.44,5.43,51.84,49.13,49.91,49.88,1.39,5.49,122.17,13.95,4779986037.0,1766499131.0,0.04,0.17,-20.3,5.24
152,838163,方大新材,15.55,3.87,0.58,25227.0,38506907.28,5.08,15.55,14.79,14.98,14.97,1.3,4.11,33.68,4.3,2001520738.0,954419114.0,0.19,0.39,-15.85,11.15
153,834033,康普化学,22.11,3.85,0.82,16687.0,36337097.53,4.32,22.12,21.2,21.32,21.29,1.07,1.99,24.66,3.66,2634080378.0,1850015558.0,0.41,0.32,-4.49,17.54
154,835368,连城数控,36.44,3.85,1.35,75757.0,270392766.42,6.87,36.49,34.08,34.68,35.09,0.88,3.39,18.56,2.03,8555399234.0,8139589463.0,0.0,0.36,-9.6,24.03
155,831855,浙江大农,21.39,3.83,0.79,32932.0,69048874.54,5.78,21.39,20.2,20.55,20.6,0.67,4.91,31.9,2.88,1598545993.0,1434721651.0,0.14,0.33,-23.09,28.08
156,833781,瑞奇智造,9.75,3.83,0.36,94751.0,91344064.13,8.52,9.98,9.18,9.18,9.39,1.51,10.21,44.63,3.34,1370026164.0,904819763.0,0.1,0.41,-0.61,22.03
157,831834,三维股份,10.15,3.78,0.37,41879.0,41973821.61,6.85,10.27,9.6,9.6,9.78,0.89,6.67,26.87,4.22,1218000051.0,637383856.0,0.0,0.3,-11.35,39.04
158,837092,汉鑫科技,53.85,3.76,1.95,41930.0,220946909.67,9.0,54.19,49.52,50.02,51.9,0.94,13.13,162.8,8.45,3342991845.0,1719414614.0,0.09,-0.04,21.01,53.86
159,871634,新威凌,21.66,3.74,0.78,39963.0,85000419.74,9.1,22.2,20.3,20.88,20.88,1.71,12.19,37.32,5.16,1381085916.0,710031608.0,0.05,0.23,1.4,43.44
160,872925,锦好医疗,14.17,3.73,0.51,41816.0,58515265.56,4.32,14.19,13.6,13.69,13.66,1.19,7.56,175.98,3.89,1384219731.0,783530901.0,0.0,0.21,-11.33,21.74
161,831305,海希通讯,18.7,3.72,0.67,61587.0,113860853.25,7.04,18.99,17.72,17.73,18.03,2.21,5.59,38.82,3.34,2622862000.0,2058687787.0,0.11,0.05,-2.09,35.8
162,830964,润农节水,8.5,3.66,0.3,151489.0,126741779.21,5.12,8.52,8.1,8.18,8.2,0.96,9.91,180.73,2.49,2220268000.0,1298889446.0,-0.12,-0.12,-11.73,21.08
163,833751,惠同新材,15.92,3.65,0.56,45365.0,71376750.5,4.69,15.95,15.23,15.35,15.36,1.24,5.46,26.16,3.62,1381537600.0,1322428630.0,0.19,0.19,-2.33,31.03
164,834415,恒拓开源,21.61,3.65,0.76,125273.0,264334902.79,7.15,21.61,20.12,20.19,20.85,1.16,11.81,139.73,5.7,3036453234.0,2291559711.0,0.42,0.32,0.05,42.45
165,835892,中科美菱,16.79,3.64,0.59,35309.0,58286935.29,5.68,16.8,15.88,16.0,16.2,1.35,12.66,67.35,2.65,1624112382.0,468410392.0,0.0,0.24,-7.13,22.64
166,830799,艾融软件,59.01,3.62,2.06,51554.0,299721395.21,4.62,59.01,56.38,56.63,56.95,0.87,4.27,137.42,30.55,12379120751.0,7122776735.0,0.03,0.22,-13.84,14.43
167,836433,大唐药业,7.18,3.61,0.25,114781.0,80952787.72,5.19,7.18,6.82,6.82,6.93,1.54,6.79,145.08,3.85,1837503310.0,1214372678.0,0.0,0.28,-17.47,17.51
168,835857,百甲科技,7.18,3.61,0.25,92521.0,65682154.99,5.34,7.25,6.88,6.93,6.93,1.19,8.02,-222.1,1.84,1301470472.0,828468457.0,0.0,0.28,-14.01,25.96
169,430478,峆一药业,21.2,3.57,0.73,35061.0,73252634.6,4.93,21.21,20.2,20.23,20.47,1.13,10.4,18.01,2.46,1191874600.0,714834786.0,0.24,0.05,-8.26,26.42
170,830896,旺成科技,20.68,3.56,0.71,48908.0,101487060.71,10.92,21.49,19.31,19.31,19.97,0.77,11.01,43.5,5.05,2093317283.0,918229431.0,0.29,0.24,-0.58,46.67
