序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
93,002472,双环传动,40.68,6.86,2.61,368143,1517041194.73,6.25,41.88,39.5,39.5,38.07,11.07,4.89,35.03,4.04,34475012153,30610088747,-0.17,-1.17,37.25,32.85
94,836149,旭杰科技,16.18,6.8,1.03,34168,53601475.99,7.26,16.28,15.18,15.38,15.15,4.48,6.98,-32.68,7.73,1213752408,791942898,-0.61,1.31,-13.06,40.57
95,603326,我乐家居,7.87,6.78,0.5,54068,41153292.0,6.92,7.87,7.36,7.38,7.37,3.25,1.69,23.66,2.28,2540740412,2511922439,1.29,2.88,19.42,32.94
96,300423,昇辉科技,7.58,6.76,0.48,97654,72881766.07,7.89,7.67,7.11,7.17,7.1,11.55,2.94,173.71,2.53,3771135578,2519717593,0.0,-0.52,-7.56,9.54
97,605155,西大门,12.67,6.74,0.8,60821,74751455.0,8.85,12.68,11.63,11.76,11.87,6.04,3.22,20.94,1.96,2426906065,2395864565,1.04,0.56,13.02,25.94
98,002713,东易日盛,4.76,6.73,0.3,169061,78922561.28,9.42,4.9,4.48,4.49,4.46,6.3,4.11,-2.58,-3.86,1996996025,1958091821,0.63,0.63,-13.77,18.11
99,301603,乔锋智能,55.5,6.71,3.49,39012,217306155.22,9.04,58.0,53.3,53.3,52.01,6.82,16.15,33.35,3.19,6702180000,1340436000,-0.48,-0.45,20.65,29.92
100,300986,志特新材,18.53,6.68,1.16,96111,178972652.72,5.58,19.23,18.26,18.36,17.37,4.7,3.88,58.06,3.37,4592841075,4587369462,0.87,1.09,45.22,52.64
101,605008,长鸿高科,14.92,6.57,0.92,46297,67848525.0,9.79,15.39,14.02,14.31,14.0,7.01,0.72,70.47,4.81,9637759217,9584315777,-0.33,-0.07,17.85,24.96
102,688800,瑞可达,54.75,6.52,3.35,63884,348238224.0,7.76,55.86,51.87,51.87,51.4,6.85,4.03,50.15,4.15,8673488047,8673488047,0.13,-0.09,25.78,9.26
103,000766,通化金马,18.34,6.5,1.12,173268,314024782.53,6.68,18.57,17.42,17.42,17.22,5.79,1.79,555.69,7.57,17725512926,17716580870,-0.05,0.05,27.8,16.82
104,603489,八方股份,28.83,6.46,1.75,41325,115780718.0,7.9,28.99,26.85,26.96,27.08,7.62,1.76,99.14,2.57,6775424876,6775424876,0.28,1.09,5.41,21.03
105,002580,圣阳股份,14.88,6.29,0.88,446121,660140864.8,6.0,15.14,14.3,14.52,14.0,3.03,9.86,30.46,3.13,6753570616,6730801344,-0.33,-0.13,65.89,75.47
106,603151,邦基科技,12.07,6.25,0.71,38594,46392170.0,9.6,12.45,11.36,11.36,11.36,19.43,4.77,35.62,1.64,2027760000,975642240,0.17,0.58,3.96,20.58
107,301131,聚赛龙,42.22,6.19,2.46,41401,175506149.28,5.01,42.99,41.0,41.64,39.76,16.26,17.94,57.57,2.47,2017271600,974193062,-0.12,-0.38,7.46,22.38
108,835670,数字人,21.67,6.12,1.25,74490,168511221.73,12.63,23.98,21.4,22.5,20.42,8.69,11.18,-414.91,9.53,2300972608,1444271283,-1.05,0.42,-1.68,40.62
109,301005,超捷股份,37.45,6.12,2.16,149417,575984957.84,14.22,41.5,36.48,40.0,35.29,13.48,11.29,148.59,6.59,5050579990,4957323386,0.24,-0.08,20.73,28.03
110,603990,麦迪科技,16.9,6.09,0.97,484365,834386062.0,5.08,17.52,16.71,17.52,15.93,9.4,15.81,-23.22,5.65,5176178154,5176178154,-0.12,-0.65,18.18,64.4
111,301071,力量钻石,35.05,6.02,1.99,64716,224045329.91,6.65,35.28,33.08,33.2,33.06,10.37,4.08,38.68,1.73,9122544571,5558531026,-0.45,0.43,2.61,-3.31
